day,interval,detid,flow,occ,error,city,speed
2008-05-23,33480,38,440.0,0.0444444444444444,,toulouse,
2008-05-23,79740,38,220.0,0.0222222222222222,,toulouse,
2008-06-20,69300,38,240.0,0.0277777777777778,,toulouse,
2008-06-06,33480,38,300.0,0.0333333333333333,,toulouse,
2008-05-30,18000,38,80.0,0.0055555555555555,,toulouse,
2008-05-16,34380,38,320.0,0.0277777777777778,,toulouse,
2008-05-23,43020,38,340.0,0.0333333333333333,,toulouse,
2008-06-20,75420,38,280.0,0.0388888888888889,,toulouse,
2008-05-23,48420,38,200.0,0.0166666666666667,,toulouse,
2008-05-23,62100,38,160.0,0.0166666666666667,,toulouse,
2008-05-16,37800,38,240.0,0.0277777777777778,,toulouse,
2008-05-30,25200,38,100.0,0.0111111111111111,,toulouse,
2008-06-20,80640,38,220.0,0.0222222222222222,,toulouse,
2008-06-20,28440,38,400.0,0.05,,toulouse,
2008-06-20,84060,38,240.0,0.0277777777777778,,toulouse,
2008-06-27,81180,38,280.0,0.0277777777777778,,toulouse,
2008-06-27,8640,38,80.0,0.0111111111111111,,toulouse,
2008-05-23,47340,38,160.0,0.0166666666666667,,toulouse,
2008-05-16,39060,38,340.0,0.0388888888888889,,toulouse,
2008-06-13,84780,38,140.0,0.0111111111111111,,toulouse,
2008-06-13,81540,38,100.0,0.0055555555555555,,toulouse,
2008-06-13,77940,38,240.0,0.0277777777777778,,toulouse,
2008-06-27,53460,38,280.0,0.0555555555555556,,toulouse,
2008-05-16,29160,38,560.0,0.0666666666666667,,toulouse,
2008-06-13,59760,38,320.0,0.0444444444444444,,toulouse,
2008-05-30,81720,38,20.0,0.0055555555555555,,toulouse,
2008-06-20,49140,38,171.0,0.0222222222222222,,toulouse,
2008-06-06,31140,38,260.0,0.0222222222222222,,toulouse,
2008-05-16,28080,38,260.0,0.0222222222222222,,toulouse,
2008-06-20,76860,38,220.0,0.0222222222222222,,toulouse,
2008-05-23,43560,38,280.0,0.0277777777777778,,toulouse,
2008-06-13,17460,38,0.0,0.0,,toulouse,
2008-05-23,61560,38,140.0,0.0111111111111111,,toulouse,
2008-05-16,35640,38,380.0,0.0555555555555556,,toulouse,
2008-05-23,42300,38,240.0,0.0277777777777778,,toulouse,
2008-06-27,79560,38,240.0,0.0222222222222222,,toulouse,
2008-05-23,57060,38,320.0,0.05,,toulouse,
2008-06-06,52020,38,360.0,0.0388888888888889,,toulouse,
2008-05-16,63000,38,400.0,0.0833333333333333,,toulouse,
2008-06-20,83160,38,300.0,0.0388888888888889,,toulouse,
2008-06-13,46620,38,220.0,0.0277777777777778,,toulouse,
2008-06-20,81540,38,300.0,0.0388888888888889,,toulouse,
2008-06-13,79560,38,160.0,0.0166666666666667,,toulouse,
2008-06-27,75780,38,260.0,0.0277777777777778,,toulouse,
2008-05-23,79920,38,320.0,0.0333333333333333,,toulouse,
2008-06-13,27000,38,100.0,0.0111111111111111,,toulouse,
2008-06-27,43380,38,0.0,0.0,,toulouse,
2008-06-27,59580,38,260.0,0.0444444444444444,,toulouse,
2008-06-27,21600,38,60.0,0.0111111111111111,,toulouse,
2008-05-23,61020,38,320.0,0.05,,toulouse,
2008-06-13,63720,38,200.0,0.0277777777777778,,toulouse,
2008-06-27,39780,38,60.0,0.0055555555555555,,toulouse,
2008-05-23,37260,38,200.0,0.0166666666666667,,toulouse,
2008-06-13,76680,38,200.0,0.0222222222222222,,toulouse,
2008-06-06,82260,38,160.0,0.0111111111111111,,toulouse,
2008-05-16,31320,38,480.0,0.0555555555555556,,toulouse,
2008-05-30,80100,38,0.0,0.0,,toulouse,
2008-06-13,80280,38,120.0,0.0111111111111111,,toulouse,
2008-06-20,69660,38,440.0,0.05,,toulouse,
2008-05-16,16200,38,0.0,0.0,,toulouse,
2008-06-06,18360,38,60.0,0.0111111111111111,,toulouse,
2008-06-06,54540,38,240.0,0.0222222222222222,,toulouse,
2008-06-06,28440,38,180.0,0.0166666666666667,,toulouse,
2008-06-13,75060,38,140.0,0.0166666666666667,,toulouse,
2008-06-06,53100,38,300.0,0.0388888888888889,,toulouse,
2008-05-16,64800,38,340.0,0.0555555555555556,,toulouse,
2008-05-30,81000,38,0.0,0.0,,toulouse,
2008-06-27,25020,38,80.0,0.0111111111111111,,toulouse,
2008-06-13,53820,38,260.0,0.0388888888888889,,toulouse,
2008-06-06,66780,38,140.0,0.0111111111111111,,toulouse,
2008-06-06,7920,38,120.0,0.0111111111111111,,toulouse,
2008-05-16,59760,38,400.0,0.05,,toulouse,
2008-05-23,36720,38,220.0,0.0166666666666667,,toulouse,
2008-06-20,77220,38,280.0,0.0388888888888889,,toulouse,
2008-05-23,82800,38,280.0,0.0277777777777778,,toulouse,
2008-06-27,75060,38,200.0,0.0277777777777778,,toulouse,
2008-06-13,14220,38,60.0,0.0055555555555555,,toulouse,
2008-06-13,51480,38,200.0,0.0277777777777778,,toulouse,
2008-06-13,44100,38,160.0,0.0222222222222222,,toulouse,
2008-06-13,79200,38,140.0,0.0111111111111111,,toulouse,
2008-06-20,65880,38,320.0,0.0333333333333333,,toulouse,
2008-06-27,73080,38,260.0,0.0277777777777778,,toulouse,
2008-06-27,69660,38,100.0,0.0111111111111111,,toulouse,
2008-05-16,50040,38,400.0,0.0611111111111111,,toulouse,
2008-06-20,42300,38,380.0,0.0444444444444444,,toulouse,
2008-05-23,63720,38,100.0,0.0111111111111111,,toulouse,
2008-05-16,69480,38,360.0,0.0555555555555556,,toulouse,
2008-06-20,36900,38,380.0,0.0388888888888889,,toulouse,
2008-06-06,49320,38,240.0,0.0222222222222222,,toulouse,
2008-06-13,45540,38,100.0,0.0111111111111111,,toulouse,
2008-06-20,83520,38,180.0,0.0166666666666667,,toulouse,
2008-05-23,3600,38,80.0,0.0055555555555555,,toulouse,
2008-05-16,48960,38,240.0,0.0388888888888889,,toulouse,
2008-06-13,28620,38,360.0,0.0333333333333333,,toulouse,
2008-05-23,85320,38,300.0,0.0333333333333333,,toulouse,
2008-06-06,31320,38,300.0,0.0277777777777778,,toulouse,
2008-06-20,2160,38,160.0,0.0222222222222222,,toulouse,
2008-05-30,2700,38,200.0,0.0166666666666667,,toulouse,
2008-06-06,64800,38,100.0,0.0055555555555555,,toulouse,
2008-05-23,44460,38,200.0,0.0166666666666667,,toulouse,
2008-05-23,50940,38,260.0,0.0611111111111111,,toulouse,
2008-06-06,55440,38,140.0,0.0111111111111111,,toulouse,
2008-05-30,31860,38,280.0,0.0333333333333333,,toulouse,
2008-05-23,58860,38,200.0,0.0222222222222222,,toulouse,
2008-06-13,75600,38,240.0,0.0222222222222222,,toulouse,
2008-05-30,7560,38,160.0,0.0111111111111111,,toulouse,
2008-06-06,77400,38,120.0,0.0111111111111111,,toulouse,
2008-05-30,36180,38,240.0,0.0277777777777778,,toulouse,
2008-05-16,32400,38,360.0,0.0388888888888889,,toulouse,
2008-06-20,50760,38,260.0,0.05,,toulouse,
2008-06-27,36000,38,60.0,0.0055555555555555,,toulouse,
2008-06-06,80820,38,240.0,0.0333333333333333,,toulouse,
2008-06-20,46620,38,300.0,0.0388888888888889,,toulouse,
2008-06-06,65340,38,280.0,0.0333333333333333,,toulouse,
2008-05-16,48420,38,280.0,0.0444444444444444,,toulouse,
2008-06-06,25020,38,120.0,0.0055555555555555,,toulouse,
2008-05-23,65880,38,140.0,0.0166666666666667,,toulouse,
2008-06-13,65340,38,220.0,0.0222222222222222,,toulouse,
2008-06-06,80280,38,220.0,0.0222222222222222,,toulouse,
2008-06-20,15840,38,140.0,0.0111111111111111,,toulouse,
2008-05-30,69660,38,220.0,0.0333333333333333,,toulouse,
2008-06-13,67500,38,300.0,0.0277777777777778,,toulouse,
2008-06-27,16380,38,0.0,0.0,,toulouse,
2008-06-20,28260,38,240.0,0.0277777777777778,,toulouse,
2008-05-16,540,38,120.0,0.0055555555555555,,toulouse,
2008-05-23,26640,38,120.0,0.0111111111111111,,toulouse,
2008-06-06,23400,38,100.0,0.0111111111111111,,toulouse,
2008-06-13,12060,38,60.0,0.0055555555555555,,toulouse,
2008-06-20,76320,38,340.0,0.0444444444444444,,toulouse,
2008-06-13,70380,38,460.0,0.05,,toulouse,
2008-06-27,61200,38,220.0,0.0444444444444444,,toulouse,
2008-05-23,41040,38,200.0,0.0222222222222222,,toulouse,
2008-05-23,44100,38,60.0,0.0055555555555555,,toulouse,
2008-05-23,48780,38,100.0,0.0111111111111111,,toulouse,
2008-06-06,62280,38,160.0,0.0166666666666667,,toulouse,
2008-06-20,62460,38,360.0,0.0444444444444444,,toulouse,
2008-05-30,78840,38,0.0,0.0,,toulouse,
2008-06-13,12960,38,60.0,0.0055555555555555,,toulouse,
2008-06-06,4320,38,100.0,0.0055555555555555,,toulouse,
2008-06-20,46260,38,280.0,0.0333333333333333,,toulouse,
2008-06-20,30240,38,380.0,0.0333333333333333,,toulouse,
2008-05-30,22860,38,180.0,0.0277777777777778,,toulouse,
2008-05-16,30600,38,520.0,0.0555555555555556,,toulouse,
2008-05-23,65520,38,200.0,0.0222222222222222,,toulouse,
2008-05-23,51660,38,220.0,0.0222222222222222,,toulouse,
2008-06-27,50580,38,280.0,0.0444444444444444,,toulouse,
2008-06-06,85140,38,160.0,0.0166666666666667,,toulouse,
2008-06-20,68220,38,240.0,0.0444444444444444,,toulouse,
2008-05-30,51840,38,300.0,0.0944444444444444,,toulouse,
2008-05-23,48240,38,160.0,0.0166666666666667,,toulouse,
2008-06-27,5760,38,80.0,0.0055555555555555,,toulouse,
2008-06-20,33840,38,260.0,0.0333333333333333,,toulouse,
2008-06-06,17280,38,60.0,0.0055555555555555,,toulouse,
2008-06-27,18720,38,0.0,0.0,,toulouse,
2008-05-16,49680,38,260.0,0.0388888888888889,,toulouse,
2008-06-20,32940,38,520.0,0.0611111111111111,,toulouse,
2008-06-06,84960,38,200.0,0.0222222222222222,,toulouse,
2008-05-23,23040,38,80.0,0.0111111111111111,,toulouse,
2008-05-16,72540,38,320.0,0.227777777777778,,toulouse,
2008-06-13,55440,38,220.0,0.0333333333333333,,toulouse,
2008-06-20,12600,38,40.0,0.0055555555555555,,toulouse,
2008-06-20,42660,38,420.0,0.05,,toulouse,
2008-06-27,68220,38,240.0,0.0333333333333333,,toulouse,
2008-05-16,7740,38,60.0,0.0055555555555555,,toulouse,
2008-05-23,37440,38,320.0,0.0333333333333333,,toulouse,
