factor,var,sdev,coef
add0.1,LWup,1.2294025681236045,0.948228670110554
add0.1,Qh,0.5675229490199897,0.7702003123376198
add0.1,Qle,1.0647750149739494,0.5210684929294593
add0.1,Qtau,0.4050134565893069,0.7060321375848804
add0.2,LWup,1.2311183453599364,0.9489772019927891
add0.2,Qh,0.5749055316006536,0.7703786865740327
add0.2,Qle,1.0690192227473225,0.5208862573286172
add0.2,Qtau,0.40853702861531715,0.7177658898775536
add0.4,LWup,1.2347725473521627,0.9503183369397203
add0.4,Qh,0.5892898290345413,0.7707722420329416
add0.4,Qle,1.0782623125277702,0.520649361536941
add0.4,Qtau,0.41559903544935806,0.7420474367804739
add0.8,LWup,1.2434341803810907,0.952537428791545
add0.8,Qh,0.6178813978304357,0.7713734827997563
add0.8,Qle,1.0933241196864698,0.5195938425679276
add0.8,Qtau,0.4289413632895462,0.8017497419705893
sub0.1,LWup,1.22719040811394,0.9465467158269879
sub0.1,Qh,0.5524524311280408,0.7691792624329086
sub0.1,Qle,1.0521450906393846,0.5204450984011657
sub0.1,Qtau,0.3978525015107422,0.682880137151529
sub0.2,LWup,1.2262732591906667,0.9455371372157527
sub0.2,Qh,0.5446612050790166,0.768215161454072
sub0.2,Qle,1.0462108623334547,0.5207593602255008
sub0.2,Qtau,0.39456099485448054,0.671700662362702
sub0.4,LWup,1.22505175802747,0.9430944423726477
sub0.4,Qh,0.5268515901785564,0.7664437314098135
sub0.4,Qle,1.0367461180252575,0.5207001230120916
sub0.4,Qtau,0.38840641795803305,0.6492502064162474
sub0.8,LWup,1.230983586511169,0.9365277013684213
sub0.8,Qh,0.48584911990268553,0.758006806553626
sub0.8,Qle,1.0029396937158892,0.5203342970356728
sub0.8,Qtau,0.37870412623201566,0.6049557198524246
traffic,LWup,1.228210167684124,0.9474446621972584
traffic,Qh,0.5601914615682498,0.7698337217820976
traffic,Qle,1.0581661293205094,0.5205723021230599
traffic,Qtau,0.4013302264298776,0.6944702524607415
