factor,var,sdev,coef
add0.1,TSA_U,1.0307734703778386,0.9189788701851743
add0.1,RH2M,0.6632196425379813,0.5983481599978343
add0.2,TSA_U,1.0304531110106272,0.9192922577807193
add0.2,RH2M,0.6632900412774926,0.5976950406210472
add0.4,TSA_U,1.029870972685676,0.9199742156116655
add0.4,RH2M,0.6635937459092828,0.5968077914403583
add0.8,TSA_U,1.0289663698287257,0.9212893215660342
add0.8,RH2M,0.6639094218737313,0.5955792994804271
sub0.1,TSA_U,1.0313247490687851,0.9182443713444398
sub0.1,RH2M,0.663971234862057,0.5986144744116586
sub0.2,TSA_U,1.031725332667187,0.9178776832428296
sub0.2,RH2M,0.6645756275989195,0.5994992740503255
sub0.4,TSA_U,1.0325520905359329,0.9170907307092434
sub0.4,RH2M,0.6659890980711252,0.60128288208189
sub0.8,TSA_U,1.0344485132598285,0.9153332838939985
sub0.8,RH2M,0.6697808719046241,0.6045331386489734
traffic,TSA_U,1.0310863885713828,0.9186826937706715
traffic,RH2M,0.6632957040032798,0.5990151352517399
