hour,value,site,season,case,var
2,0.17202446,FR-Cap,Winter,cntl,TSA_U
3,0.13961703,FR-Cap,Winter,cntl,TSA_U
4,0.10161075,FR-Cap,Winter,cntl,TSA_U
5,0.064653486,FR-Cap,Winter,cntl,TSA_U
6,0.0402098,FR-Cap,Winter,cntl,TSA_U
7,0.022438781,FR-Cap,Winter,cntl,TSA_U
8,0.0,FR-Cap,Winter,cntl,TSA_U
9,0.0036870365,FR-Cap,Winter,cntl,TSA_U
10,0.13218087,FR-Cap,Winter,cntl,TSA_U
11,0.38535118,FR-Cap,Winter,cntl,TSA_U
12,0.56259584,FR-Cap,Winter,cntl,TSA_U
13,0.764669,FR-Cap,Winter,cntl,TSA_U
14,0.9190093,FR-Cap,Winter,cntl,TSA_U
15,0.98571116,FR-Cap,Winter,cntl,TSA_U
16,1.0,FR-Cap,Winter,cntl,TSA_U
17,0.9000714,FR-Cap,Winter,cntl,TSA_U
18,0.7934453,FR-Cap,Winter,cntl,TSA_U
19,0.6424506,FR-Cap,Winter,cntl,TSA_U
20,0.5264579,FR-Cap,Winter,cntl,TSA_U
21,0.4615996,FR-Cap,Winter,cntl,TSA_U
22,0.38192484,FR-Cap,Winter,cntl,TSA_U
23,0.30581298,FR-Cap,Winter,cntl,TSA_U
0,0.0,FR-Cap,Winter,cntl,TBUILD
1,0.0,FR-Cap,Winter,cntl,TBUILD
2,0.0,FR-Cap,Winter,cntl,TBUILD
3,0.0,FR-Cap,Winter,cntl,TBUILD
4,0.0,FR-Cap,Winter,cntl,TBUILD
5,0.0,FR-Cap,Winter,cntl,TBUILD
6,0.0,FR-Cap,Winter,cntl,TBUILD
7,0.0,FR-Cap,Winter,cntl,TBUILD
8,0.0,FR-Cap,Winter,cntl,TBUILD
9,0.0,FR-Cap,Winter,cntl,TBUILD
10,0.0,FR-Cap,Winter,cntl,TBUILD
11,0.0,FR-Cap,Winter,cntl,TBUILD
12,0.0,FR-Cap,Winter,cntl,TBUILD
13,0.061170213,FR-Cap,Winter,cntl,TBUILD
14,0.33776596,FR-Cap,Winter,cntl,TBUILD
15,0.6037234,FR-Cap,Winter,cntl,TBUILD
16,0.9574468,FR-Cap,Winter,cntl,TBUILD
17,1.0,FR-Cap,Winter,cntl,TBUILD
18,0.92021275,FR-Cap,Winter,cntl,TBUILD
19,0.74202126,FR-Cap,Winter,cntl,TBUILD
20,0.5106383,FR-Cap,Winter,cntl,TBUILD
21,0.31648937,FR-Cap,Winter,cntl,TBUILD
22,0.039893616,FR-Cap,Winter,cntl,TBUILD
23,0.0,FR-Cap,Winter,cntl,TBUILD
0,0.4735557,FR-Cap,Summer,traffic,TRAFFICFLUX
1,0.47441503,FR-Cap,Summer,traffic,TRAFFICFLUX
2,0.15786698,FR-Cap,Summer,traffic,TRAFFICFLUX
3,0.15788803,FR-Cap,Summer,traffic,TRAFFICFLUX
4,0.05269447,FR-Cap,Summer,traffic,TRAFFICFLUX
5,5.4586857e-05,FR-Cap,Summer,traffic,TRAFFICFLUX
6,0.0,FR-Cap,Summer,traffic,TRAFFICFLUX
