month,case,site,variable,value
9,traffic,FR-Capitole,traffic_contribution,99.72467366304247
9,traffic,UK-Manchester,AHF,19.41285607083333
9,traffic,UK-Manchester,traffic_contribution,83.34532842205687
10,AH4GUC,FR-Capitole,AHF,38.6904
10,AH4GUC,FR-Capitole,traffic_contribution,
10,AH4GUC,UK-Manchester,AHF,20.22477
10,AH4GUC,UK-Manchester,traffic_contribution,
10,cntl,FR-Capitole,AHF,0.5057757208624514
10,cntl,FR-Capitole,traffic_contribution,0.0
10,cntl,UK-Manchester,AHF,7.982522108862477
10,cntl,UK-Manchester,traffic_contribution,
10,traffic,FR-Capitole,AHF,22.547839881912356
10,traffic,FR-Capitole,traffic_contribution,98.70577710968432
10,traffic,UK-Manchester,AHF,23.552458464112906
10,traffic,UK-Manchester,traffic_contribution,64.64249971450175
11,AH4GUC,FR-Capitole,AHF,45.77249
11,AH4GUC,FR-Capitole,traffic_contribution,
11,AH4GUC,UK-Manchester,AHF,22.84021
11,AH4GUC,UK-Manchester,traffic_contribution,
11,cntl,FR-Capitole,AHF,12.103880719966643
11,cntl,FR-Capitole,traffic_contribution,0.0
11,cntl,UK-Manchester,AHF,14.303427693578932
11,cntl,UK-Manchester,traffic_contribution,
11,traffic,FR-Capitole,AHF,32.24505773749616
11,traffic,FR-Capitole,traffic_contribution,69.01538186063952
11,traffic,UK-Manchester,AHF,29.865114866666666
11,traffic,UK-Manchester,traffic_contribution,51.304372614173126
12,AH4GUC,FR-Capitole,AHF,47.45086
12,AH4GUC,FR-Capitole,traffic_contribution,
12,AH4GUC,UK-Manchester,AHF,22.60166
12,AH4GUC,UK-Manchester,traffic_contribution,
12,cntl,FR-Capitole,AHF,15.120105034771866
12,cntl,FR-Capitole,traffic_contribution,0.0
12,cntl,UK-Manchester,AHF,24.680621274055973
12,cntl,UK-Manchester,traffic_contribution,
12,traffic,FR-Capitole,AHF,35.32497122915842
12,traffic,FR-Capitole,traffic_contribution,62.85190981607599
12,traffic,UK-Manchester,AHF,40.17016797043011
12,traffic,UK-Manchester,traffic_contribution,39.046771126746805
