factor,var,sdev,coef
0.05,LWup,1.2273737756541532,0.9467227660509406
0.05,Qh,0.5538347251408094,0.7693689172386003
0.05,Qle,1.053273824935439,0.5203021046072357
0.05,Qtau,0.398448520813297,0.6850886125650145
0.1,LWup,1.2264468311360823,0.9458951251934086
0.1,Qh,0.5473816505018055,0.7684407765960724
0.1,Qle,1.048249266892101,0.520801357752515
0.1,Qtau,0.39565247337201015,0.6753583313668632
0.15,LWup,1.225731524302608,0.9449499565283985
0.15,Qh,0.540273527933111,0.7679216085520159
0.15,Qle,1.0440839594874691,0.5211090082263943
0.15,Qtau,0.39304192454731784,0.6662007824013478
0.2,LWup,1.225584698931206,0.9439505787261145
0.2,Qh,0.5329101568624991,0.767309356751686
0.2,Qle,1.040432624846787,0.5204948138463974
0.2,Qtau,0.39040391279806685,0.6569177478656993
0.25,LWup,1.2249589919706987,0.9428355678649668
0.25,Qh,0.5250901089572868,0.7661896691782812
0.25,Qle,1.0356395037183248,0.5205242673713296
0.25,Qtau,0.3878098493848126,0.6470160365255345
0.3,LWup,1.225881575534223,0.941537730101216
0.3,Qh,0.5168805133236678,0.7648075589768726
0.3,Qle,1.0288660981629532,0.5208626755368927
0.3,Qtau,0.3856272908658067,0.6364759417764252
traffic,LWup,1.2282514028918972,0.947464147018113
traffic,Qh,0.560376847586343,0.7698319279943341
traffic,Qle,1.0582255968775411,0.5205360100669333
traffic,Qtau,0.4014176417918848,0.6947355879165313
