factor,var,sdev,coef
0.05,LWup,1.492145827549236,0.9843518398535152
0.05,Qh,1.084778861576901,0.9579793528885588
0.05,Qle,0.5664152338914996,0.6070058244149874
0.05,Qtau,0.5286574471989097,0.8571335741416682
0.1,LWup,1.4910066986034807,0.9843511538702261
0.1,Qh,1.0823825979952213,0.9580644048049762
0.1,Qle,0.5618726378463726,0.6070618987244564
0.1,Qtau,0.5280691006914556,0.8569224779321336
0.15,LWup,1.4898720209991372,0.9843496509656091
0.15,Qh,1.0799790552493942,0.9581421356826078
0.15,Qle,0.5573779015156873,0.6071065122013908
0.15,Qtau,0.5274742302652223,0.8567035725873491
0.2,LWup,1.4887438380956297,0.9843473895136292
0.2,Qh,1.0775744209661922,0.958214600467071
0.2,Qle,0.5529894028692482,0.6072507440729108
0.2,Qtau,0.5268849007419365,0.8564778674865939
0.25,LWup,1.4876237991069445,0.9843444128537094
0.25,Qh,1.075182327652712,0.9582754752842476
0.25,Qle,0.5484983086608917,0.6073133026359663
0.25,Qtau,0.526308491354138,0.8562419681398866
0.3,LWup,1.4865117340782292,0.9843412593709098
0.3,Qh,1.072791991182527,0.9583421836175667
0.3,Qle,0.5443199552307229,0.6075937917942539
0.3,Qtau,0.5257483333789666,0.8559885295408788
traffic,LWup,1.493299474940234,0.9843530426513932
traffic,Qh,1.0871825881628658,0.9578821639397994
traffic,Qle,0.5709510938434809,0.6069802695727761
traffic,Qtau,0.5292217978004504,0.8573435112023549
